LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20,AU,DE,GB-1,GB-2,GB-3,GB-4,JP,KR,MX,NZ
24.00,384,71.07,77.18,78.48,80.69,80.82,81.02,75.96,79.33,85.15,80.97,87.02,83.11,89.22,84.19,90.31,88.99,95.10,95.92,98.69,109.04,141.79,80.72,90.61,96.65,100.54,101.27,122.09,87.03,92.35,127.33
25.00,400,88.81,95.18,96.53,98.82,98.95,99.15,93.85,97.26,103.33,98.98,105.28,101.15,107.52,102.25,108.62,107.15,113.52,114.35,117.39,128.01,162.36,98.40,109.17,115.21,119.10,119.83,141.57,105.42,110.73,147.45
26.00,416,91.48,98.10,99.50,101.88,102.01,102.21,96.67,100.11,106.43,101.91,108.47,104.12,110.74,105.24,111.86,110.23,116.85,117.71,121.01,131.90,167.84,101.00,112.65,118.69,122.58,123.31,145.97,108.59,114.04,152.49
27.00,432,94.14,101.02,102.47,104.93,105.06,105.26,99.49,102.96,109.54,104.85,111.66,107.09,113.96,108.22,115.10,113.31,120.19,121.06,124.64,135.79,173.33,103.60,116.13,122.17,126.06,126.79,150.38,111.91,117.34,157.53
28.00,448,96.81,103.94,105.45,107.98,108.12,108.32,102.30,105.81,112.64,107.78,114.85,110.05,117.19,111.20,118.34,116.40,123.53,124.42,128.26,139.68,178.82,106.20,119.61,125.66,129.54,130.27,154.78,115.07,120.65,162.57
29.00,464,99.48,106.86,108.42,111.04,111.17,111.37,105.12,108.66,115.75,110.71,118.04,113.02,120.41,114.19,121.58,119.48,126.87,127.77,131.88,143.57,184.30,108.80,123.09,129.14,133.02,133.75,159.19,118.39,123.95,167.62
30.00,480,102.14,109.79,111.39,114.09,114.23,114.43,107.94,111.51,118.85,113.65,121.22,115.99,123.63,117.17,124.82,122.57,130.21,131.13,135.50,147.46,189.79,111.39,126.57,132.62,136.50,137.23,163.59,121.55,127.25,172.66
31.00,496,104.81,112.71,114.36,117.15,117.28,117.48,110.75,114.36,121.96,116.58,124.41,118.95,126.85,120.16,128.05,125.65,133.55,134.48,139.13,151.35,195.28,113.99,130.05,136.10,139.98,140.71,168.00,124.87,130.56,177.70
32.00,512,107.47,115.63,117.33,120.20,120.34,120.54,113.57,117.21,125.06,119.52,127.60,121.92,130.07,123.14,131.29,128.73,136.89,137.84,142.75,155.24,200.76,116.59,133.53,139.58,143.47,144.19,172.40,128.03,132.07,182.75
33.00,528,109.86,118.26,119.97,122.84,122.97,123.17,115.95,119.59,127.70,121.90,130.24,124.30,132.71,125.52,133.93,131.12,139.52,140.48,145.39,157.88,206.25,119.19,137.01,143.06,146.95,147.67,176.81,131.19,135.37,187.79
34.00,544,112.52,121.19,122.94,125.90,126.03,126.23,118.77,122.44,130.81,124.83,133.43,127.27,135.93,128.50,137.17,134.20,142.86,143.83,149.01,161.77,211.73,121.79,140.50,146.54,150.43,151.16,181.21,134.51,138.68,192.83
35.00,560,115.19,124.11,125.91,128.95,129.08,129.28,121.59,125.29,133.91,127.76,136.62,130.24,139.15,131.49,140.41,137.28,146.20,147.19,152.63,165.66,217.22,124.39,143.98,150.02,153.91,154.64,185.62,137.67,141.98,197.88
36.00,576,117.86,127.03,128.88,132.00,132.14,132.34,124.40,128.14,137.01,130.70,139.80,133.20,142.38,134.47,143.64,140.37,149.54,150.54,156.25,169.55,222.71,126.99,147.46,153.50,157.39,158.12,190.02,140.99,145.28,202.92
37.00,592,120.52,129.95,131.85,135.06,135.19,135.39,127.22,130.99,140.12,133.63,142.99,136.17,145.60,137.46,146.88,143.45,152.88,153.90,159.88,173.44,228.19,129.58,150.94,156.99,160.87,161.60,194.43,144.15,148.59,207.96
38.00,608,123.19,132.87,134.82,138.11,138.25,138.45,130.04,133.84,143.22,136.57,146.18,139.14,148.82,140.44,150.12,146.53,156.22,157.25,163.50,177.32,233.68,132.18,154.42,160.47,164.35,165.08,198.83,147.47,151.89,213.00
