LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20
1.44,23,11.98,11.98,12.69,12.82,13.06,13.34,13.34,13.34,15.03,15.61,21.09,22.85,26.85,27.55,21.55,23.52,27.47,28.16,28.16,28.16
1.50,24,12.09,12.09,12.80,12.94,13.17,13.45,13.45,13.45,15.15,15.72,21.20,22.96,26.97,27.66,21.66,23.63,27.58,28.27,28.27,28.27
1.56,25,12.21,12.21,12.92,13.06,13.30,13.57,13.57,13.57,15.27,15.84,21.33,23.08,27.09,27.78,21.78,23.75,27.70,28.39,28.39,28.39
1.63,26,12.32,12.32,13.03,13.17,13.41,13.68,13.68,13.68,15.38,15.95,21.44,23.20,27.20,27.89,21.89,23.87,27.81,28.50,28.50,28.50
1.69,27,12.44,12.44,13.15,13.29,13.53,13.81,13.81,13.81,15.50,16.08,21.56,23.32,27.32,28.01,22.01,23.99,27.93,28.63,28.63,28.63
1.75,28,12.89,12.89,13.66,14.02,14.12,14.31,14.31,14.31,16.98,17.65,23.13,25.56,31.20,31.97,24.91,28.54,36.33,36.93,36.93,36.93
1.81,29,13.01,13.01,13.78,14.14,14.24,14.43,14.43,14.43,17.10,17.77,23.26,25.68,31.33,32.10,25.03,28.66,36.46,37.05,37.05,37.05
1.88,30,13.13,13.13,13.90,14.25,14.35,14.55,14.55,14.55,17.21,17.88,23.37,25.79,31.44,32.21,25.14,28.77,36.57,37.16,37.16,37.16
1.94,31,13.25,13.25,14.02,14.37,14.47,14.67,14.67,14.67,17.33,18.00,23.49,25.92,31.56,32.33,25.27,28.90,36.69,37.28,37.28,37.28
2.00,32,13.36,13.36,14.13,14.48,14.58,14.78,14.78,14.78,17.44,18.12,23.60,26.03,31.67,32.44,25.38,29.01,36.80,37.40,37.40,37.40
2.06,33,13.47,13.47,14.24,14.60,14.70,14.89,14.89,14.89,17.56,18.23,23.71,26.14,31.78,32.55,25.49,29.12,36.92,37.51,37.51,37.51
2.13,34,13.59,13.59,14.36,14.72,14.82,15.01,15.01,15.01,17.68,18.35,23.84,26.26,31.91,32.68,25.61,29.24,37.04,37.63,37.63,37.63
2.19,35,13.71,13.71,14.48,14.83,14.93,15.13,15.13,15.13,17.79,18.46,23.95,26.37,32.02,32.79,25.72,29.35,37.15,37.74,37.74,37.74
2.25,36,14.18,14.18,14.72,15.37,15.53,15.78,15.78,15.78,18.60,19.51,26.58,29.20,37.25,38.18,31.57,34.84,42.15,42.88,42.88,42.88
2.31,37,14.30,14.30,14.83,15.48,15.64,15.89,15.89,15.89,18.72,19.62,26.69,29.31,37.36,38.29,31.68,34.96,42.26,42.99,42.99,42.99
2.38,38,14.42,14.42,14.95,15.60,15.76,16.02,16.02,16.02,18.84,19.75,26.81,29.43,37.49,38.41,31.80,35.08,42.38,43.11,43.11,43.11
2.44,39,14.53,14.53,15.06,15.71,15.87,16.13,16.13,16.13,18.95,19.86,26.92,29.55,37.60,38.53,31.91,35.19,42.49,43.22,43.22,43.22
2.50,40,14.65,14.65,15.18,15.84,15.99,16.25,16.25,16.25,19.07,19.98,27.04,29.67,37.72,38.65,32.04,35.31,42.61,43.34,43.34,43.34
2.56,41,14.76,14.76,15.30,15.95,16.11,16.36,16.36,16.36,19.18,20.09,27.16,29.78,37.83,38.76,32.15,35.42,42.73,43.46,43.46,43.46
